published_at,source,title,url,topics,finbert_label,finbert_score,sentiment_value
2026-01-01 00:00:00,GOBankingRates,Synchrony Bank CD Rates 2026: How Much You Can Earn,https://www.gobankingrates.com/banking/cd-rates/synchrony-bank-cd-rates/,"finance, economy_monetary, financial_markets",neutral,0.9309,0.0
2026-01-01 00:00:00,Investing.com UK,TKO Group director Shapiro sells $6.5m in shares By Investing.com,https://m.uk.investing.com/news/insider-trading-news/tko-group-director-shapiro-sells-65m-in-shares-93CH-4438688?ampMode=1,"earnings, financial_markets, finance",neutral,0.9501,0.0
2026-01-01 00:00:15,AD HOC NEWS,"Jabil Inc: Quiet Tape, Strong Pulse – What Jabil’s Stock Is Really Signaling Right Now",https://www.ad-hoc-news.de/boerse/news/ueberblick/jabil-inc-quiet-tape-strong-pulse-what-jabil-s-stock-is-really/68446169,"financial_markets, manufacturing, earnings, economy_macro, technology",neutral,0.734,0.0
2026-01-01 00:00:56,AD HOC NEWS,Fathom Holdings Inc (FTHM): Sleeping Giant Stock Or Just Another Real Estate Ghost?,https://www.ad-hoc-news.de/boerse/news/ueberblick/fathom-holdings-inc-fthm-sleeping-giant-stock-or-just-another-real/68446186,"financial_markets, real_estate, technology, economy_macro",neutral,0.896,0.0
2026-01-01 00:02:09,ts2.tech,Goldman Sachs stock slips after hours as Wall Street ends 2025 lower; GS earnings in focus,https://ts2.tech/en/goldman-sachs-stock-slips-after-hours-as-wall-street-ends-2025-lower-gs-earnings-in-focus/,"earnings, financial_markets, economy_monetary, finance",negative,0.9684,-1.0
2026-01-01 00:02:13,Investing.com,Intuit director Cook sells $50.3 million in shares,https://www.investing.com/news/insider-trading-news/intuit-director-cook-sells-503-million-in-shares-93CH-4427074,"financial_markets, earnings",neutral,0.9436,0.0
2026-01-01 00:04:00,Stock Traders Daily,Liquidity Mapping Around (HBT) Price Events,https://news.stocktradersdaily.com/news_release/43/Liquidity_Mapping_Around_HBT_Price_Events_010126120401_1767243841.html,"financial_markets, economy_macro",neutral,0.9123,0.0
2026-01-01 00:04:35,Supermicro,"Supermicro Unveils High-Density, Liquid-Cooled and Air-Cooled 6U SuperBlade® Powered by Intel® Xeon® 6900 Series Processors for Maximum Performance and Efficiency",https://ir.supermicro.com/news/news-details/2025/Supermicro-Unveils-High-Density-Liquid-Cooled-and-Air-Cooled-6U-SuperBlade-Powered-by-Intel-Xeon-6900-Series-Processors-for-Maximum-Performance-and-Efficiency/default.aspx,"technology, manufacturing, finance",positive,0.5306,1.0
2026-01-01 00:06:00,Investing.com Nigeria,Samsara Inc: CEO Biswas sells shares worth $5.78 million By Investing.com,https://ng.investing.com/news/insider-trading-news/samsara-inc-ceo-biswas-sells-shares-worth-578-million-93CH-2271336,"earnings, technology",neutral,0.9496,0.0
2026-01-01 00:07:43,AD HOC NEWS,"Aptiv plc stock: chips, cars and a cautious comeback story for 2026",https://www.ad-hoc-news.de/boerse/ueberblick/aptiv-plc-stock-chips-cars-and-a-cautious-comeback-story-for-2026/68443609,"earnings, financial_markets, economy_macro, energy_transportation, technology",neutral,0.8472,0.0
2026-01-01 00:07:53,ts2.tech,Costco stock slips after-hours as insider sale filing hits tape; investors eye Jan. 7 sales update,https://ts2.tech/en/costco-stock-slips-after-hours-as-insider-sale-filing-hits-tape-investors-eye-jan-7-sales-update/,"earnings, retail_wholesale, financial_markets, finance",negative,0.9605,-1.0
2026-01-01 00:07:54,MSN,Aptiv PLC (APTV) dips more than broader market: What you should know,https://www.msn.com/en-us/money/topstocks/aptiv-plc-aptv-dips-more-than-broader-market-what-you-should-know/ar-AA1Tnd9W?ocid=finance-verthp-feeds,financial_markets,negative,0.7784,-1.0
2026-01-01 00:07:55,MSN,What to expect from HCA Healthcare's next quarterly earnings report,http://www.msn.com/en-us/money/companies/what-to-expect-from-hca-healthcare-s-next-quarterly-earnings-report/ar-AA1SU4FR?apiversion=v2&domshim=1&noservercache=1&noservertelemetry=1&batchservertelemetry=1&renderwebcomponents=1&wcseo=1,earnings,neutral,0.9046,0.0
2026-01-01 00:07:56,WAVY.com,Fire investigation underway at Dominion Energy building,https://www.wavy.com/video/fire-investigation-underway-at-dominion-energy-building/11390510/,energy_transportation,neutral,0.5368,0.0
2026-01-01 00:08:08,Investing.com Nigeria,"Arnold, Frances sells Alphabet Inc (GOOGL) stock worth $31971 By Investing.com",https://m.ng.investing.com/news/insider-trading-news/arnold-frances-sells-alphabet-inc-googl-stock-worth-31971-93CH-2271327?ampMode=1,"earnings, financial_markets, mergers_and_acquisitions, technology, energy_transportation",neutral,0.9494,0.0
2026-01-01 00:08:12,AD HOC NEWS,Quanta Services Inc.: The Quiet Infrastructure Powerhouse Rewiring the Energy Transition,https://www.ad-hoc-news.de/boerse/ueberblick/quanta-services-inc-the-quiet-infrastructure-powerhouse-rewiring-the/68446004,"earnings, energy_transportation, real_estate",neutral,0.8058,0.0
2026-01-01 00:08:13,Facebook,"Trash pickup will continue as scheduled on New Year’s Day in Brownsville. Republic Services will operate normally, and the holiday will not disrupt service. Residents should place their bins out as usual. #CityOfBrownsville #RepublicServices #TrashPickup",https://www.facebook.com/BTxRGV/photos/trash-pickup-will-continue-as-scheduled-on-new-years-day-in-brownsville-republic/1176815787932673/,energy_transportation,neutral,0.9315,0.0
2026-01-01 00:08:17,AD HOC NEWS,"Jabil Inc: Quiet Tape, Strong Pulse – What Jabil’s Stock Is Really Signaling Right Now",https://www.ad-hoc-news.de/boerse/ueberblick/jabil-inc-quiet-tape-strong-pulse-what-jabil-s-stock-is-really/68446169,"manufacturing, financial_markets, technology, earnings, economy_macro",neutral,0.734,0.0
2026-01-01 00:08:18,Galesburg Register Mail,Moderna to Host Investor Event – Analyst Day,https://www.galesburg.com/press-release/story/29209/moderna-to-host-investor-event-analyst-day/,"earnings, life_sciences",neutral,0.9329,0.0
2026-01-01 00:08:29,AD HOC NEWS,Union Pacific Corp: How a 160-Year-Old Railroad Is Turning Into a Modern Freight Platform,https://www.ad-hoc-news.de/boerse/news/ueberblick/union-pacific-corp-how-a-160-year-old-railroad-is-turning-into-a-modern/68446182,"energy_transportation, technology, manufacturing, financial_markets, economy_macro",neutral,0.8992,0.0
2026-01-01 00:08:30,Investing.com South Africa,Intuit director Cook sells $50.3 million in shares By Investing.com,https://za.investing.com/news/insider-trading-news/intuit-director-cook-sells-503-million-in-shares-93CH-4044463,"earnings, financial_markets",neutral,0.9535,0.0
2026-01-01 00:08:32,Citizen Portal AI,"Hot Springs staff recommend one-year extension with Tyler Technologies at $172,470 ahead of ERP migration",https://citizenportal.ai/articles/7242588/Hot-Springs-City/Garland-County/Arkansas/Hot-Springs-staff-recommend-one-year-extension-with-Tyler-Technologies-at-172470-ahead-of-ERP-migration,"finance, technology",neutral,0.7166,0.0
2026-01-01 00:08:35,Edison International,Another Wet Week Unfolding for SoCal,https://energized.edison.com/stories/another-wet-week-unfolding-for-socal,"energy_transportation, finance",negative,0.4829,-1.0
2026-01-01 00:08:38,ts2.tech,Salesforce stock slips after-hours to end 2025 as focus turns to Agentforce AI and Feb. 25 earnings,https://ts2.tech/en/salesforce-stock-slips-after-hours-to-end-2025-as-focus-turns-to-agentforce-ai-and-feb-25-earnings/,"earnings, technology, financial_markets",negative,0.951,-1.0
2026-01-01 00:08:39,The Globe and Mail,Delek Shares Surge 60% but One Fund Walked Away From a $15 Million Position,https://www.theglobeandmail.com/investing/markets/stocks/EQH-N/pressreleases/36847184/delek-shares-surge-60-but-one-fund-walked-away-from-a-15-million-position/,"financial_markets, earnings, energy_transportation, finance",negative,0.8868,-1.0
2026-01-01 00:08:41,SiliconANGLE,Uber reportedly seeking to acquire parking startup SpotHero,https://siliconangle.com/2025/12/31/uber-reportedly-seeking-acquire-parking-startup-spothero/,"mergers_and_acquisitions, technology, energy_transportation",neutral,0.868,0.0
