date,mean_sentiment,net_sentiment,positive_share,negative_share,neutral_share,article_count,mean_confidence
2024-04-03,0.0,0.0,0.0,0.0,1.0,2.0,0.7749
2024-05-23,1.0,1.0,1.0,0.0,0.0,1.0,0.7168
2024-06-03,0.0,0.0,0.0,0.0,1.0,1.0,0.6291
2024-06-04,1.0,1.0,1.0,0.0,0.0,1.0,0.5326
2024-06-26,0.0,0.0,0.0,0.0,1.0,1.0,0.9167
2024-09-02,0.0,0.0,0.0,0.0,1.0,1.0,0.9082
2024-09-11,-1.0,-1.0,0.0,1.0,0.0,1.0,0.8047
2024-10-18,0.0,0.0,0.0,0.0,1.0,1.0,0.9149
2024-11-06,0.0,0.0,0.0,0.0,1.0,1.0,0.8867
2024-12-16,0.0,0.0,0.0,0.0,1.0,1.0,0.8896
2024-12-31,0.0,0.0,0.0,0.0,1.0,1.0,0.8888
2025-01-21,0.0,0.0,0.0,0.0,1.0,1.0,0.5935
2025-02-26,0.0,0.0,0.0,0.0,1.0,1.0,0.7738
2025-06-03,0.0,0.0,0.0,0.0,1.0,1.0,0.6421
2025-06-20,1.0,1.0,1.0,0.0,0.0,1.0,0.8816
2025-09-19,0.0,0.0,0.0,0.0,1.0,1.0,0.8553
2025-10-13,-1.0,-1.0,0.0,1.0,0.0,1.0,0.6745
2025-10-14,0.0,0.0,0.0,0.0,1.0,1.0,0.7081
2025-10-15,-1.0,-1.0,0.0,1.0,0.0,1.0,0.597
2025-10-16,0.2,0.2,0.2,0.0,0.8,5.0,0.7584
2025-10-17,-1.0,-1.0,0.0,1.0,0.0,1.0,0.8875
2025-11-02,1.0,1.0,1.0,0.0,0.0,1.0,0.9271
2025-11-17,1.0,1.0,1.0,0.0,0.0,1.0,0.6992
2025-11-21,-1.0,-1.0,0.0,1.0,0.0,1.0,0.9341
2026-01-13,0.0,0.0,0.0,0.0,1.0,1.0,0.6932
2026-01-22,0.0,0.0,0.0,0.0,1.0,1.0,0.84
2026-02-16,0.0,0.0,0.0,0.0,1.0,1.0,0.921
2026-02-18,1.0,1.0,1.0,0.0,0.0,1.0,0.8472
2026-02-21,0.0,0.0,0.0,0.0,1.0,1.0,0.808
2026-02-23,-1.0,-1.0,0.0,1.0,0.0,1.0,0.5345
2026-02-26,1.0,1.0,1.0,0.0,0.0,1.0,0.8107
2026-03-13,-1.0,-1.0,0.0,1.0,0.0,1.0,0.5317
2026-03-17,0.0,0.0,0.0,0.0,1.0,2.0,0.9137
2026-03-18,-1.0,-1.0,0.0,1.0,0.0,1.0,0.9362
2026-03-19,1.0,1.0,1.0,0.0,0.0,1.0,0.6623
2026-03-22,1.0,1.0,1.0,0.0,0.0,1.0,0.5051
2026-03-23,0.0,0.0,0.0,0.0,1.0,1.0,0.8552
2026-03-27,-1.0,-1.0,0.0,1.0,0.0,1.0,0.894
2026-03-29,0.0,0.0,0.0,0.0,1.0,1.0,0.9033
2026-03-31,0.0,0.0,0.0,0.0,1.0,1.0,0.8224
2026-04-02,0.0,0.0,0.0,0.0,1.0,3.0,0.7883
2026-04-22,0.0,0.0,0.0,0.0,1.0,1.0,0.545
