published_at,source,title,url,topics,finbert_label,finbert_score,sentiment_value,av_overall_sentiment,av_overall_score
2026-04-25 23:08:57,Stock Traders Daily,(ICF) Price Dynamics and Execution-Aware Positioning,https://news.stocktradersdaily.com/news_release/139/ICF_Price_Dynamics_and_Execution-Aware_Positioning_042426113602_1777088162.html,"financial_markets, real_estate",neutral,0.8819,0.0,Somewhat-Bearish,-0.196477
2026-04-25 22:54:52,TechStock²,Lockheed Martin Gets Golden Dome Opening as Profit Worries Bite,https://ts2.tech/en/lockheed-martin-gets-golden-dome-opening-as-profit-worries-bite/,"earnings, financial_markets, manufacturing",negative,0.4338,-1.0,Neutral,0.061086
2026-04-25 22:38:47,MarketBeat,"Manhattan Associates (NASDAQ:MANH) EVP Sells $1,016,525.00 in Stock",https://www.marketbeat.com/instant-alerts/manhattan-associates-nasdaqmanh-evp-sells-101652500-in-stock-2026-04-24/,"earnings, financial_markets, finance, technology",neutral,0.9533,0.0,Neutral,-0.10388
2026-04-25 22:31:13,The Globe and Mail,NeOnc Raises Capital Through Private Equity Offerings,https://www.theglobeandmail.com/investing/markets/markets-news/Tipranks/1520661/neonc-raises-capital-through-private-equity-offerings/,"finance, life_sciences",neutral,0.9078,0.0,Neutral,0.105834
2026-04-25 22:21:16,Simply Wall Street,Chipotle Honey Chicken Returns As Investors Weigh High Protein Growth Impact,https://simplywall.st/stocks/us/consumer-services/nyse-cmg/chipotle-mexican-grill/news/chipotle-honey-chicken-returns-as-investors-weigh-high-prote,"earnings, financial_markets, retail_wholesale, finance",positive,0.9008,1.0,Neutral,0.115708
2026-04-25 22:08:44,GuruFocus,Sanmina (SANM) Set to Report Q2 Earnings with Strong Growth Expectations,https://www.gurufocus.com/news/8816893/sanmina-sanm-set-to-report-q2-earnings-with-strong-growth-expectations,"earnings, financial_markets, finance, technology, manufacturing",positive,0.9506,1.0,Bullish,0.606775
2026-04-25 22:08:15,The Globe and Mail,"Analysts Are Bullish on These Technology Stocks: Check Point (CHKP), Roper Technologies (ROP)",https://www.theglobeandmail.com/investing/markets/stocks/ROP-Q/pressreleases/1520501/analysts-are-bullish-on-these-technology-stocks-check-point-chkp-roper-technologies-rop/,"technology, financial_markets",neutral,0.6225,0.0,Somewhat-Bullish,0.30022
2026-04-25 22:03:23,Yahoo Finance,"Regeneron Pharmaceuticals Details C5 Strategy, With PNH Data Due Q4 and gMG NDA Under Review",https://finance.yahoo.com/sectors/healthcare/articles/regeneron-pharmaceuticals-details-c5-strategy-220335471.html,life_sciences,neutral,0.8945,0.0,Bullish,0.461661
2026-04-25 21:43:03,The Globe and Mail,Yorkville Acquisition Names CFO Troy Rillo as CEO,https://www.theglobeandmail.com/investing/markets/markets-news/Tipranks/1520443/yorkville-acquisition-names-cfo-troy-rillo-as-ceo/,"mergers_and_acquisitions, finance",neutral,0.9273,0.0,Neutral,0.12177
2026-04-25 21:39:57,Stock Titan,SAFE BULKERS (NYSE: SB) director files Form 3 ownership statement,https://www.stocktitan.net/sec-filings/SB/form-3-safe-bulkers-inc-initial-statement-of-beneficial-ownership-c072f4b91897.html,"finance, financial_markets",neutral,0.9456,0.0,Neutral,0.042233
2026-04-25 21:39:09,GuruFocus,"RCM Technologies Inc (RCMT) CFO Kevin Miller Sells 4,415 Shares",https://www.gurufocus.com/news/8816917/rcm-technologies-inc-rcmt-cfo-kevin-miller-sells-4415-shares,"financial_markets, finance, earnings, technology",neutral,0.9421,0.0,Somewhat-Bearish,-0.232197
